s_suppkey,s_name,s_address,s_city,s_nation,s_region,s_phone
245,Supplier#000000245,TA6OMBZ78zeQ7CFY6FU7o,INDIA    3,INDIA,ASIA,18-952-232-2729
246,Supplier#000000246,qQy4awjS,EGYPT    2,EGYPT,MIDDLE EAST,14-608-618-2590
247,Supplier#000000247,0QGm8sCIfYIChkEvNkvbM5o,UNITED KI9,UNITED KINGDOM,EUROPE,33-151-905-3513
248,Supplier#000000248,xnbpIyWfTJc1uvQnCd4ry0s,FRANCE   1,FRANCE,EUROPE,16-447-727-8914
249,Supplier#000000249,HyBDzVpwxWM,IRAN     6,IRAN,MIDDLE EAST,20-226-455-7727
250,Supplier#000000250,iGscwk9I,INDONESIA6,INDONESIA,ASIA,19-464-852-1461
251,Supplier#000000251,7AIXz1rIAsguiWNyC9LKHO,VIETNAM  0,VIETNAM,ASIA,31-975-623-5949
252,Supplier#000000252,vOQgKR,IRAQ     0,IRAQ,MIDDLE EAST,21-330-347-9201
253,Supplier#000000253,oP tJgIUKoxSqrbSlGHd,VIETNAM  7,VIETNAM,ASIA,31-461-140-9884
254,Supplier#000000254,PUJWEJsh,GERMANY  7,GERMANY,EUROPE,17-451-622-6325
255,Supplier#000000255,BuZU3uom6JScQv5Na4cF,CHINA    3,CHINA,ASIA,28-924-679-8287
256,Supplier#000000256,FQZVIO6ZbsdTI,IRAQ     4,IRAQ,MIDDLE EAST,21-229-271-4429
257,Supplier#000000257,qHl9HJY3w8uc5MrfjebRAVw,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-816-687-2155
258,Supplier#000000258,tSiED3PxpP,GERMANY  6,GERMANY,EUROPE,17-278-425-9944
259,Supplier#000000259,Zss2pt,IRAN     2,IRAN,MIDDLE EAST,20-907-674-2046
260,Supplier#000000260,"8aku9ChM,SEb9Ab3nie7EzyS",UNITED KI8,UNITED KINGDOM,EUROPE,33-708-529-9446
261,Supplier#000000261,x67Y6oi0,ALGERIA  7,ALGERIA,AFRICA,10-494-898-7855
262,Supplier#000000262,sXGoEZMdXhAQY6s,SAUDI ARA8,SAUDI ARABIA,MIDDLE EAST,30-698-169-5201
263,Supplier#000000263,U5NCx1,KENYA    0,KENYA,AFRICA,24-276-906-3193
264,Supplier#000000264,dMAYMJRv9AzUtcxrq,ROMANIA  0,ROMANIA,EUROPE,29-881-683-3829
265,Supplier#000000265,NjlWmOx0pS1dKp89m5WueoX,ROMANIA  7,ROMANIA,EUROPE,29-716-734-2046
266,Supplier#000000266,"gk4uW4OA,k",UNITED KI6,UNITED KINGDOM,EUROPE,33-474-243-3974
267,Supplier#000000267,1mRdC4MgVAdv59,IRAN     2,IRAN,MIDDLE EAST,20-402-954-8909
268,Supplier#000000268,rBfeURMPy,UNITED KI2,UNITED KINGDOM,EUROPE,33-720-469-5207
269,Supplier#000000269,gucKmpFsP3om2j2l,BRAZIL   0,BRAZIL,AMERICA,12-570-874-6232
270,Supplier#000000270,cerbUWEJpCN,UNITED KI3,UNITED KINGDOM,EUROPE,33-241-806-3530
271,Supplier#000000271,"7,p8zEifwPHTEfZPI",MOROCCO  9,MOROCCO,AFRICA,25-621-282-5689
272,Supplier#000000272,uv nAgf7L,GERMANY  9,GERMANY,EUROPE,17-324-877-9650
273,Supplier#000000273,"d,7tCb",MOROCCO  3,MOROCCO,AFRICA,25-197-772-5736
274,Supplier#000000274,"yzuPFSg84W,n7",VIETNAM  2,VIETNAM,ASIA,31-330-389-1442
275,Supplier#000000275,fJRM16HEpb2OViYhjOeO,VIETNAM  6,VIETNAM,ASIA,31-194-864-6861
276,Supplier#000000276,hN5nzVmkL46zb,FRANCE   2,FRANCE,EUROPE,16-716-357-3851
277,Supplier#000000277,amMPxN PaEfuFPo4DFYIKg,JAPAN    7,JAPAN,ASIA,22-696-831-5394
278,Supplier#000000278,LpaEG6EOF6lPHvj6y N,INDONESIA7,INDONESIA,ASIA,19-445-570-5841
279,Supplier#000000279,R5k5c04dv7nGlvj0dJQa,JORDAN   4,JORDAN,MIDDLE EAST,23-220-605-9025
280,Supplier#000000280,f1qhb  X78V,IRAQ     2,IRAQ,MIDDLE EAST,21-537-461-3965
281,Supplier#000000281,rYzMz9aqqHVvwbbh,ALGERIA  1,ALGERIA,AFRICA,10-809-382-6446
282,Supplier#000000282,lJ0GWxaabsdtiqRROR MWiH,INDIA    0,INDIA,ASIA,18-251-599-2415
283,Supplier#000000283,f4fBkIHzZ4DCLg8DdTfE0o3O,PERU     1,PERU,AMERICA,27-111-303-1282
284,Supplier#000000284,"Udl,cHhQsbjhTF",MOROCCO  9,MOROCCO,AFRICA,25-161-235-2690
285,Supplier#000000285,q TMZEDyZtv vUiFK,CANADA   2,CANADA,AMERICA,13-235-130-1313
286,Supplier#000000286,"DS,IqcwEvAfX4cqSXBA",IRAN     8,IRAN,MIDDLE EAST,20-274-308-4633
287,Supplier#000000287,UQR8bUA4V2,CANADA   1,CANADA,AMERICA,13-330-840-6321
288,Supplier#000000288,TL6hJm g,IRAN     3,IRAN,MIDDLE EAST,20-674-136-5397
289,Supplier#000000289,"V7xQ,jjAd, CNZ",MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-456-773-7693
290,Supplier#000000290,"VpG,Ul5yv",FRANCE   1,FRANCE,EUROPE,16-458-625-5633
291,Supplier#000000291,0Bnna yZPZQsDjaKVHz,ALGERIA  8,ALGERIA,AFRICA,10-657-656-2318
292,Supplier#000000292,ccmNBTNrxKWPgaQ1vW8qfQe,VIETNAM  1,VIETNAM,ASIA,31-457-910-2923
293,Supplier#000000293,"kYhD65wZ3X ,tiTJY",INDONESIA9,INDONESIA,ASIA,19-887-984-5485
294,Supplier#000000294,"Z,wDQPw0Ny2,",CHINA    2,CHINA,ASIA,28-187-946-4260
295,Supplier#000000295,LBETLRJ2RHV2t,UNITED KI2,UNITED KINGDOM,EUROPE,33-340-773-4322
296,Supplier#000000296,L04hPNG PHrOBdyEYa9z,KENYA    1,KENYA,AFRICA,24-875-178-1959
297,Supplier#000000297,LL5ciSQ7Y ,ARGENTINA2,ARGENTINA,AMERICA,11-915-518-8800
298,Supplier#000000298,DipZXu3H,ETHIOPIA 6,ETHIOPIA,AFRICA,15-542-157-4074
299,Supplier#000000299,Hw4wXf2D0aZ8AhFPGpL,IRAN     6,IRAN,MIDDLE EAST,20-948-474-7353
300,Supplier#000000300,36ra1x3jhoU01,BRAZIL   7,BRAZIL,AMERICA,12-165-193-5964
301,Supplier#000000301,3bl7zbcb9,EGYPT    6,EGYPT,MIDDLE EAST,14-265-345-9265
302,Supplier#000000302,"DvSiC,hjGbEi",CHINA    7,CHINA,ASIA,28-152-594-2967
303,Supplier#000000303,"folG,5hjWcSlH0EYQzXPOi",INDIA    6,INDIA,ASIA,18-184-254-6407
304,Supplier#000000304,QW 8eBWtrJq,IRAQ     6,IRAQ,MIDDLE EAST,21-321-698-7663
305,Supplier#000000305,Cg27QJupyaYqkhfwDN9d,PERU     0,PERU,AMERICA,27-250-654-3339
306,Supplier#000000306,8Vm6wJcWEAAkcU y,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-109-305-9629
307,Supplier#000000307,YvfR2kliwNOusJXFvtU8,KENYA    2,KENYA,AFRICA,24-836-934-5394
308,Supplier#000000308,F52T zCuHRy8AsqiiBr7d4b,INDIA    3,INDIA,ASIA,18-992-128-2013
309,Supplier#000000309,L7SW 1ql8 2aBI,BRAZIL   6,BRAZIL,AMERICA,12-231-377-9535
310,Supplier#000000310,jVev0AkK4adl5,ALGERIA  1,ALGERIA,AFRICA,10-838-647-9285
311,Supplier#000000311,uHknDpgIW4Fy,RUSSIA   7,RUSSIA,EUROPE,32-919-292-8822
312,Supplier#000000312,T32ApBr80c5P8BR3YAkp,JORDAN   5,JORDAN,MIDDLE EAST,23-316-482-2555
313,Supplier#000000313,Su BgAv R0iKwEVBr kG2Mb,INDONESIA5,INDONESIA,ASIA,19-401-786-6040
314,Supplier#000000314,p4Ux3MbN,RUSSIA   5,RUSSIA,EUROPE,32-366-243-4713
315,Supplier#000000315,k9fJuxApb0M,BRAZIL   3,BRAZIL,AMERICA,12-442-286-3594
316,Supplier#000000316,y3hZXPiTL3qtkf,ALGERIA  7,ALGERIA,AFRICA,10-171-394-5011
317,Supplier#000000317,nvxebmGPXiA8AIy4SNNKvt,PERU     1,PERU,AMERICA,27-615-537-8871
318,Supplier#000000318,pEVLDbWeU5NhlZTFpP5UJp,UNITED ST1,UNITED STATES,AMERICA,34-229-548-7118
319,Supplier#000000319,zOm8SrtXsOkam9RhUKqg,CHINA    4,CHINA,ASIA,28-734-928-1642
320,Supplier#000000320,xYlFjLggIkJn,VIETNAM  8,VIETNAM,ASIA,31-358-857-3698
321,Supplier#000000321,CfDKlGVtM,ROMANIA  8,ROMANIA,EUROPE,29-114-675-9153
322,Supplier#000000322,GpYAOmo v,FRANCE   5,FRANCE,EUROPE,16-660-202-7517
323,Supplier#000000323,0gmcEP77C,RUSSIA   7,RUSSIA,EUROPE,32-347-223-6024
324,Supplier#000000324,bnzKc9CsKrIDI29Zjs,CHINA    3,CHINA,ASIA,28-722-560-7023
325,Supplier#000000325,QaKuSrp8QDeldLok20Y,INDIA    1,INDIA,ASIA,18-823-702-9630
326,Supplier#000000326,SGlIowJOp,GERMANY  5,GERMANY,EUROPE,17-447-614-7494
327,Supplier#000000327,fCoThPTC7JC1XWjFhbgx7Pc1,ALGERIA  3,ALGERIA,AFRICA,10-606-718-3062
328,Supplier#000000328,9eEYWOr,GERMANY  5,GERMANY,EUROPE,17-817-180-1487
329,Supplier#000000329,"tbKSrRAE6aXvjkosSDcXSoV,",PERU     5,PERU,AMERICA,27-106-357-8302
330,Supplier#000000330,f6uEipOS,RUSSIA   4,RUSSIA,EUROPE,32-476-852-2371
331,Supplier#000000331,"6GNe7v3jtYZ,U",RUSSIA   2,RUSSIA,EUROPE,32-411-430-7917
332,Supplier#000000332,dBwc vI,INDONESIA3,INDONESIA,ASIA,19-767-972-2596
333,Supplier#000000333,fQ5Lr4KvbNHI3WDMhkc,RUSSIA   3,RUSSIA,EUROPE,32-908-534-7709
334,Supplier#000000334,ejek3DbrSO5zd3w6WUqG,JORDAN   4,JORDAN,MIDDLE EAST,23-947-291-5002
335,Supplier#000000335,i8vs9m2TNnegL,MOZAMBIQU4,MOZAMBIQUE,AFRICA,26-772-165-3138
336,Supplier#000000336,D 2MY63yqpOgrz6xeoc1S1eJ,ARGENTINA3,ARGENTINA,AMERICA,11-345-190-9898
337,Supplier#000000337,j9 PoOi80,JAPAN    2,JAPAN,ASIA,22-337-165-1106
338,Supplier#000000338,"ZPUkH1 8uANiIqcfAxHUP,X",MOZAMBIQU0,MOZAMBIQUE,AFRICA,26-302-620-7535
339,Supplier#000000339,sm8cjrVX m5Vk,ETHIOPIA 3,ETHIOPIA,AFRICA,15-992-529-2023
340,Supplier#000000340,cGVlRObAzQYGZU,RUSSIA   2,RUSSIA,EUROPE,32-730-681-4571
341,Supplier#000000341, NPRtc9bxDs1rQvoxnb6jNY,KENYA    6,KENYA,AFRICA,24-870-813-8585
342,Supplier#000000342,"3KOq,f2c",BRAZIL   6,BRAZIL,AMERICA,12-690-119-9571
343,Supplier#000000343,g79HrzOfdAYWHMU0aTfG2yd ,EGYPT    5,EGYPT,MIDDLE EAST,14-877-910-5134
344,Supplier#000000344,mrEe58Ub,IRAQ     7,IRAQ,MIDDLE EAST,21-810-788-6699
345,Supplier#000000345,22xIPn7uY,CHINA    7,CHINA,ASIA,28-209-576-4513
346,Supplier#000000346,SwFTOYQs AzRvi7A,INDIA    9,INDIA,ASIA,18-100-890-4659
347,Supplier#000000347,"tK,EVk ",INDIA    4,INDIA,ASIA,18-519-832-9913
348,Supplier#000000348,2dmjlWOTGbWybkNbr1 h2d9,INDIA    9,INDIA,ASIA,18-986-141-5327
349,Supplier#000000349,"ZZ8BV,3i1Rx7oJaq4w,o",JORDAN   3,JORDAN,MIDDLE EAST,23-818-229-3473
350,Supplier#000000350,hilu5UXM,GERMANY  4,GERMANY,EUROPE,17-960-809-3690
351,Supplier#000000351,2f47w6o8Ev gLmF,JAPAN    5,JAPAN,ASIA,22-873-420-4342
352,Supplier#000000352,"gz5OFzmIRd3xZ,",MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-906-158-8420
353,Supplier#000000353,qC0j2zxH6,MOROCCO  4,MOROCCO,AFRICA,25-733-644-2244
354,Supplier#000000354,wSLcCW,CANADA   6,CANADA,AMERICA,13-545-101-2447
355,Supplier#000000355,oxoaD1TAIZhfrQRSE7483W1,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-656-787-6091
356,Supplier#000000356,gMLIUannywR53AwKFPex7 ,IRAQ     1,IRAQ,MIDDLE EAST,21-415-457-4421
357,Supplier#000000357,6LTjIWnxs1V9h0E,SAUDI ARA6,SAUDI ARABIA,MIDDLE EAST,30-452-965-8560
358,Supplier#000000358,6XtuJkJj83BcCOV7b,CANADA   3,CANADA,AMERICA,13-457-255-3822
359,Supplier#000000359,iVjAb2DLfOmey,UNITED ST5,UNITED STATES,AMERICA,34-608-547-4751
360,Supplier#000000360,YQwuiofW2bA15jINW cIc g,ETHIOPIA 5,ETHIOPIA,AFRICA,15-604-646-1645
361,Supplier#000000361,MSi62aEN53KaoRAiaH4GE,CANADA   8,CANADA,AMERICA,13-164-267-4590
362,Supplier#000000362,"4Nyd,7V",UNITED KI0,UNITED KINGDOM,EUROPE,33-651-653-4122
363,Supplier#000000363, 2BA1v2IDSlgGbye4gcDie7,ARGENTINA2,ARGENTINA,AMERICA,11-460-529-3937
364,Supplier#000000364,dJLk6cDS,INDONESIA6,INDONESIA,ASIA,19-492-647-4972
365,Supplier#000000365,"91QtGFW,d",UNITED KI5,UNITED KINGDOM,EUROPE,33-708-696-5226
366,Supplier#000000366,ryiNwIzeyRCM5tmQ,JAPAN    9,JAPAN,ASIA,22-915-531-6826
367,Supplier#000000367,nr8wRQ a5,RUSSIA   2,RUSSIA,EUROPE,32-939-319-4691
368,Supplier#000000368,YCVvU8Vjs,ALGERIA  9,ALGERIA,AFRICA,10-552-596-4994
369,Supplier#000000369,4gfQXza7T08Kyxf,GERMANY  2,GERMANY,EUROPE,17-333-644-9832
370,Supplier#000000370,utd8hrkR63P4IyW9M,ALGERIA  8,ALGERIA,AFRICA,10-524-280-8721
371,Supplier#000000371,"UGO,gBDbu ixk1NA MOTpD",ROMANIA  6,ROMANIA,EUROPE,29-119-346-2028
372,Supplier#000000372,qNJxVe5W5Lc2puzp,ETHIOPIA 4,ETHIOPIA,AFRICA,15-226-339-6392
373,Supplier#000000373,DaqaX7,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-883-170-4010
374,Supplier#000000374, w  d5IAKZMXym32N5Plhr,BRAZIL   0,BRAZIL,AMERICA,12-282-723-3627
375,Supplier#000000375,YoipKIvqHpsqZxuHIhdHPr,IRAQ     1,IRAQ,MIDDLE EAST,21-575-273-9756
376,Supplier#000000376,gSc4fYH3,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-437-952-8986
377,Supplier#000000377,gW8lUns1ruKt1o,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-260-610-4079
378,Supplier#000000378,mLPJtpu4wOc,CANADA   4,CANADA,AMERICA,13-147-793-4825
379,Supplier#000000379,Itk4sjh7qN,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-228-550-9246
380,Supplier#000000380,"gI3EIHAzcUaW,",SAUDI ARA7,SAUDI ARABIA,MIDDLE EAST,30-538-493-4229
381,Supplier#000000381,eLtiggh 3x 4KEKH,FRANCE   9,FRANCE,EUROPE,16-860-208-7093
382,Supplier#000000382,wdQzuw,MOROCCO  6,MOROCCO,AFRICA,25-942-650-6657
383,Supplier#000000383,"CkmbPPT,ig71x7I8QIKgyI",RUSSIA   2,RUSSIA,EUROPE,32-868-920-9034
384,Supplier#000000384,"te VZLyh,",GERMANY  7,GERMANY,EUROPE,17-271-453-8361
385,Supplier#000000385,X9nvgpd,CHINA    1,CHINA,ASIA,28-741-675-6890
386,Supplier#000000386,tulLS34NnRGy8sv0ec7l,JORDAN   0,JORDAN,MIDDLE EAST,23-193-143-1425
387,Supplier#000000387,nmEA 5YKdqQxhHgy7bKq,GERMANY  4,GERMANY,EUROPE,17-694-363-3673
388,Supplier#000000388,EYT3aDJ3 3Gh9f,CHINA    0,CHINA,ASIA,28-856-814-6352
389,Supplier#000000389,m4RUFJ8NAX,UNITED ST1,UNITED STATES,AMERICA,34-264-943-1253
390,Supplier#000000390,TawT9Ifa8lMtyV,GERMANY  9,GERMANY,EUROPE,17-812-253-6693
391,Supplier#000000391,kpGvGJK7YbSP6,MOROCCO  7,MOROCCO,AFRICA,25-604-451-4462
392,Supplier#000000392,W28pTYaWfepRUW,PERU     7,PERU,AMERICA,27-601-793-2507
393,Supplier#000000393,KukebZyl ts4jmMj,ETHIOPIA 4,ETHIOPIA,AFRICA,15-749-949-5915
394,Supplier#000000394,WEknXO0fMguOqtM,INDONESIA0,INDONESIA,ASIA,19-422-600-6936
395,Supplier#000000395,x2nRqcvmsUaZpl4i,CHINA    5,CHINA,ASIA,28-804-388-6600
396,Supplier#000000396,5eyE3yavpgn87,IRAN     5,IRAN,MIDDLE EAST,20-902-936-4845
397,Supplier#000000397,Hl Js3kZ89TQ4 j LyOBzd,UNITED ST0,UNITED STATES,AMERICA,34-103-357-8777
398,Supplier#000000398,"5750 d,8Zg2l",IRAN     5,IRAN,MIDDLE EAST,20-110-215-3747
399,Supplier#000000399,7os1bbL13DaJk1O4LD,SAUDI ARA3,SAUDI ARABIA,MIDDLE EAST,30-882-664-5454
400,Supplier#000000400,bqouSxL2sb 1joMzY2,VIETNAM  2,VIETNAM,ASIA,31-522-746-1247
401,Supplier#000000401,Srs8yR,IRAN     3,IRAN,MIDDLE EAST,20-667-766-5291
402,Supplier#000000402,JR8vWoCteJtJg3ok,CANADA   6,CANADA,AMERICA,13-950-729-1638
403,Supplier#000000403,875FOaOl KGDJoLMqZZIw,INDONESIA6,INDONESIA,ASIA,19-753-433-1769
404,Supplier#000000404,aavubXyB8Ouzy2oBch,GERMANY  7,GERMANY,EUROPE,17-840-785-1776
405,Supplier#000000405,"OhiIH673rDUe,",UNITED ST5,UNITED STATES,AMERICA,34-509-301-7901
406,Supplier#000000406,teJ6VTonlWRj7MC,VIETNAM  2,VIETNAM,ASIA,31-426-693-4043
407,Supplier#000000407,5FIkoXT5y,IRAQ     8,IRAQ,MIDDLE EAST,21-975-454-8499
408,Supplier#000000408,BOC Zy0wh3rCGHDg,RUSSIA   3,RUSSIA,EUROPE,32-177-807-5661
409,Supplier#000000409,gt362msTQ3AwtUVHgqP7,GERMANY  6,GERMANY,EUROPE,17-466-412-4731
410,Supplier#000000410,V50lcXuhbvxuks9N2s5HVNv,ROMANIA  3,ROMANIA,EUROPE,29-576-345-5940
411,Supplier#000000411,lRjVX45 NPK9K,CHINA    0,CHINA,ASIA,28-483-924-1955
412,Supplier#000000412,9YCDqr0Hky,JAPAN    1,JAPAN,ASIA,22-940-318-3191
413,Supplier#000000413,lqxLzaaamrc0N5o2,IRAQ     5,IRAQ,MIDDLE EAST,21-158-285-7336
414,Supplier#000000414,mGEFjL6RBAp,VIETNAM  7,VIETNAM,ASIA,31-552-380-2475
415,Supplier#000000415,JPs ygBrdiqssa5KYEOUfTk,SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,30-346-876-2972
416,Supplier#000000416,m0RsaRBkFsIE,IRAQ     0,IRAQ,MIDDLE EAST,21-651-146-4780
417,Supplier#000000417,QXoPavoe44y02tMb6,FRANCE   0,FRANCE,EUROPE,16-794-364-5100
418,Supplier#000000418,"G,TNiLr",UNITED ST1,UNITED STATES,AMERICA,34-826-508-1218
419,Supplier#000000419,mB4yAIG,FRANCE   7,FRANCE,EUROPE,16-338-447-2399
420,Supplier#000000420,Hf4yqf,JAPAN    2,JAPAN,ASIA,22-776-366-5869
421,Supplier#000000421,z31b9sNc2HIPkH,INDIA    0,INDIA,ASIA,18-918-228-2560
422,Supplier#000000422,JxWOTAGllddwE,IRAN     4,IRAN,MIDDLE EAST,20-299-247-2444
423,Supplier#000000423,6oKeHpFxWioQ55e,UNITED ST4,UNITED STATES,AMERICA,34-201-501-7824
424,Supplier#000000424,ycNlgfmUL8ri,RUSSIA   5,RUSSIA,EUROPE,32-891-311-6778
425,Supplier#000000425,RrgDmlL0PAnD,ALGERIA  4,ALGERIA,AFRICA,10-756-407-4828
426,Supplier#000000426,tHijbae,UNITED KI1,UNITED KINGDOM,EUROPE,33-768-330-6311
427,Supplier#000000427,sjDNYQsaRV1rqNAsPKTpbq,SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,30-124-309-3821
428,Supplier#000000428,"x0Fc9ZHIGqQ7,Jdubx2",PERU     8,PERU,AMERICA,27-587-557-8211
429,Supplier#000000429,Vi7efTvTt3fNVvs,UNITED KI6,UNITED KINGDOM,EUROPE,33-989-936-1954
430,Supplier#000000430,9eN nRdw0Y4tl,ARGENTINA5,ARGENTINA,AMERICA,11-406-611-4228
431,Supplier#000000431,5CM50eidCHnUJhHRxqN GV,CANADA   6,CANADA,AMERICA,13-326-904-6643
432,Supplier#000000432,2GpQCfKRDTE,IRAN     3,IRAN,MIDDLE EAST,20-307-912-9016
433,Supplier#000000433,"ryZ,XBt305JOidhloc6V,",KENYA    0,KENYA,AFRICA,24-659-445-3595
434,Supplier#000000434,"NDNfUerSVx7,dMEgwW",ETHIOPIA 9,ETHIOPIA,AFRICA,15-325-443-1474
435,Supplier#000000435,vgw606Y81HYcAmvOFK3z,INDIA    5,INDIA,ASIA,18-741-309-6377
436,Supplier#000000436,f5S3xYE0RX,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-927-687-6390
437,Supplier#000000437,kxAiG0 gWtpUuVPN0O,GERMANY  8,GERMANY,EUROPE,17-364-492-8498
438,Supplier#000000438,PMbPCnw71UjL6qksSQzjv,UNITED ST0,UNITED STATES,AMERICA,34-394-388-4375
439,Supplier#000000439,O7DoOwbpg8shr49Fy0mEJrgD,INDONESIA3,INDONESIA,ASIA,19-873-368-6801
440,Supplier#000000440, W6dCnW4nzSw3f1mhHzo6u1,MOROCCO  4,MOROCCO,AFRICA,25-244-480-5751
441,Supplier#000000441,MwE8oGoud7j,KENYA    5,KENYA,AFRICA,24-438-355-3491
442,Supplier#000000442,ch8oj4eqzAu9 VQcnRFBXy6F,IRAQ     7,IRAQ,MIDDLE EAST,21-240-523-8711
443,Supplier#000000443,EPzROFD,IRAN     6,IRAN,MIDDLE EAST,20-241-131-1632
444,Supplier#000000444,Fj Y5P6B9GxtaR IgeQbH,VIETNAM  5,VIETNAM,ASIA,31-402-300-1949
445,Supplier#000000445,5AshgKDfDl0WiyWsV7n,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-849-846-6070
446,Supplier#000000446,EQrf3XG,INDIA    1,INDIA,ASIA,18-321-168-5681
447,Supplier#000000447,7jMhIaLiElwZ We8,ETHIOPIA 9,ETHIOPIA,AFRICA,15-438-344-7007
448,Supplier#000000448,P2s4o4nCwQe9r08YbioCYg2g,UNITED ST1,UNITED STATES,AMERICA,34-985-422-6009
449,Supplier#000000449,Hc2f2pWhaVzp5FxGZVKND,IRAN     3,IRAN,MIDDLE EAST,20-893-381-6454
450,Supplier#000000450,zXJucfDwV,UNITED KI6,UNITED KINGDOM,EUROPE,33-782-397-9006
451,Supplier#000000451,PAegaJfHC,FRANCE   6,FRANCE,EUROPE,16-939-275-3248
452,Supplier#000000452,VP7WMMho4tvmy3Er,PERU     1,PERU,AMERICA,27-335-974-9174
453,Supplier#000000453,QByRScu6Vj9ayUZQ5pURWhbH,VIETNAM  5,VIETNAM,ASIA,31-209-381-8571
454,Supplier#000000454,hSBZx4,ALGERIA  9,ALGERIA,AFRICA,10-818-915-9400
455,Supplier#000000455,OMZaERv,INDONESIA3,INDONESIA,ASIA,19-863-225-9454
456,Supplier#000000456,J8AwMVgoTyVR0H3V0j,ETHIOPIA 8,ETHIOPIA,AFRICA,15-784-971-7777
457,Supplier#000000457,iFNY 7H03vYx0FfBYmMwp9a,INDIA    9,INDIA,ASIA,18-543-684-2857
458,Supplier#000000458,jldG6hZjVXkv6jQ,VIETNAM  2,VIETNAM,ASIA,31-651-706-4016
459,Supplier#000000459,wZYIuP7GJUrykZfx4u3SnF,CHINA    2,CHINA,ASIA,28-927-662-8584
460,Supplier#000000460,GkmphcfhQnwcJ1BPTnae30b7,SAUDI ARA4,SAUDI ARABIA,MIDDLE EAST,30-643-955-6555
461,Supplier#000000461,"6f2eszFaIEUyHbk9g,ub23DP",RUSSIA   8,RUSSIA,EUROPE,32-533-226-4307
462,Supplier#000000462,qK0oYLiz,ETHIOPIA 8,ETHIOPIA,AFRICA,15-157-561-4106
463,Supplier#000000463,4cPWnRye6tBexleS,ALGERIA  2,ALGERIA,AFRICA,10-167-214-5805
464,Supplier#000000464,4v1tx4o5McWv,ETHIOPIA 7,ETHIOPIA,AFRICA,15-269-971-9738
465,Supplier#000000465,3ccxfF7L7lelIIBgyyrIgTj,PERU     6,PERU,AMERICA,27-137-838-1346
466,Supplier#000000466,km4Xnjf0,RUSSIA   4,RUSSIA,EUROPE,32-280-738-3240
467,Supplier#000000467,RIPpPqGPyEohRS,JAPAN    2,JAPAN,ASIA,22-449-581-5158
468,Supplier#000000468,80Bvm1zGP2I VnornYmLF,FRANCE   6,FRANCE,EUROPE,16-489-960-5023
469,Supplier#000000469,lW3AYs9lFfcTxnQO4H1RV,INDONESIA1,INDONESIA,ASIA,19-406-988-6460
470,Supplier#000000470,4OGPs qKpfQ6GNLIKhmbI,ROMANIA  2,ROMANIA,EUROPE,29-507-458-4433
471,Supplier#000000471,mOWrlH5GQqTsz65A,JAPAN    1,JAPAN,ASIA,22-574-118-1005
472,Supplier#000000472,"eFh5YR,CwPDELC",SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-940-478-1933
473,Supplier#000000473,vZzGJYxMPMH3fWpjgkKiln6,MOROCCO  0,MOROCCO,AFRICA,25-209-647-5704
474,Supplier#000000474,78jpeO3S,ALGERIA  1,ALGERIA,AFRICA,10-247-536-6143
475,Supplier#000000475,vvW5U1Waa4sfiVaLrmcguWhn,CANADA   5,CANADA,AMERICA,13-485-422-9361
476,Supplier#000000476,2w7rAj,ALGERIA  4,ALGERIA,AFRICA,10-996-628-9902
477,Supplier#000000477,6yQdgeVeAxJVtJ,GERMANY  0,GERMANY,EUROPE,17-845-877-6997
478,Supplier#000000478,"XH5rERovR8nySHtg6zHMIU,",IRAQ     6,IRAQ,MIDDLE EAST,21-655-291-2694
479,Supplier#000000479,"zNfG5Zgz,vqbZ5FwNDb6v1D",CHINA    3,CHINA,ASIA,28-336-406-1631
480,Supplier#000000480,"BS0fjW6aIbY7wU, Fczlt30j",KENYA    8,KENYA,AFRICA,24-231-147-5851
481,Supplier#000000481,6Al8Yob4ro,INDONESIA1,INDONESIA,ASIA,19-363-392-6461
482,Supplier#000000482,gG5 QXC,KENYA    9,KENYA,AFRICA,24-732-448-1610
483,Supplier#000000483,EO4LDACmZDV,BRAZIL   0,BRAZIL,AMERICA,12-799-189-1135
484,Supplier#000000484,5v8jrmlspYG5Iv 5FIU1,UNITED ST0,UNITED STATES,AMERICA,34-777-953-8902
485,Supplier#000000485,7f9ZYqRwGaL,ARGENTINA4,ARGENTINA,AMERICA,11-434-961-1623
486,Supplier#000000486,"EovbAg31vHkY,c5at0Lobz",SAUDI ARA7,SAUDI ARABIA,MIDDLE EAST,30-787-534-8723
487,Supplier#000000487,qwnpOiQ0,ETHIOPIA 9,ETHIOPIA,AFRICA,15-111-401-4259
