p_partkey,p_name,p_mfgr,p_category,p_brand1,p_color,p_type,p_size,p_container
4665,orange royal,MFGR#3,MFGR#34,MFGR#3434,goldenrod,LARGE BRUSHED STEEL,43,WRAP DRUM
4666,ghost lawn,MFGR#5,MFGR#53,MFGR#5315,sienna,STANDARD BRUSHED TIN,20,JUMBO PKG
4667,mint burnished,MFGR#1,MFGR#13,MFGR#1320,misty,STANDARD ANODIZED BRASS,4,SM PACK
4668,lemon medium,MFGR#2,MFGR#21,MFGR#2136,aquamarine,STANDARD PLATED COPPER,9,LG DRUM
4669,cream chiffon,MFGR#2,MFGR#23,MFGR#2321,frosted,LARGE BURNISHED NICKEL,41,LG CASE
4670,light powder,MFGR#1,MFGR#14,MFGR#1433,grey,ECONOMY PLATED STEEL,19,WRAP PACK
4671,steel azure,MFGR#1,MFGR#13,MFGR#1336,seashell,LARGE PLATED STEEL,5,SM BAG
4672,grey honeydew,MFGR#2,MFGR#21,MFGR#2123,moccasin,LARGE POLISHED COPPER,30,LG BAG
4673,honeydew cyan,MFGR#1,MFGR#12,MFGR#1227,pink,ECONOMY POLISHED NICKEL,7,MED BOX
4674,midnight steel,MFGR#3,MFGR#32,MFGR#322,thistle,LARGE ANODIZED STEEL,34,LG CAN
4675,chiffon coral,MFGR#1,MFGR#15,MFGR#1522,navajo,PROMO ANODIZED TIN,44,WRAP JAR
4676,spring lemon,MFGR#3,MFGR#33,MFGR#333,sky,LARGE ANODIZED TIN,30,SM DRUM
4677,misty peach,MFGR#2,MFGR#21,MFGR#216,plum,STANDARD PLATED TIN,43,JUMBO CAN
4678,aquamarine puff,MFGR#3,MFGR#32,MFGR#3214,hot,PROMO BRUSHED TIN,31,WRAP BAG
4679,blanched cream,MFGR#3,MFGR#34,MFGR#3417,burnished,MEDIUM BURNISHED STEEL,38,SM DRUM
4680,chocolate light,MFGR#5,MFGR#55,MFGR#5531,bisque,SMALL BRUSHED TIN,20,MED PACK
4681,sienna moccasin,MFGR#1,MFGR#14,MFGR#1417,ghost,STANDARD ANODIZED TIN,36,MED DRUM
4682,slate firebrick,MFGR#3,MFGR#35,MFGR#359,cornsilk,SMALL ANODIZED BRASS,17,MED JAR
4683,blush blanched,MFGR#4,MFGR#44,MFGR#4427,metallic,PROMO POLISHED BRASS,35,MED JAR
4684,metallic gainsboro,MFGR#2,MFGR#23,MFGR#2323,cornflower,ECONOMY BURNISHED STEEL,31,JUMBO CASE
4685,deep steel,MFGR#5,MFGR#52,MFGR#528,moccasin,ECONOMY PLATED STEEL,11,JUMBO PKG
4686,midnight dodger,MFGR#3,MFGR#31,MFGR#313,seashell,MEDIUM PLATED BRASS,5,JUMBO DRUM
4687,blush frosted,MFGR#5,MFGR#54,MFGR#5430,lavender,MEDIUM BRUSHED TIN,49,WRAP PACK
4688,almond honeydew,MFGR#2,MFGR#21,MFGR#218,pale,MEDIUM PLATED COPPER,30,SM BAG
4689,dodger burnished,MFGR#1,MFGR#15,MFGR#1528,steel,ECONOMY PLATED NICKEL,35,LG BAG
4690,tan cornsilk,MFGR#3,MFGR#32,MFGR#326,puff,MEDIUM POLISHED TIN,30,SM BOX
4691,blue almond,MFGR#5,MFGR#53,MFGR#5310,cyan,STANDARD BURNISHED BRASS,34,WRAP BAG
4692,coral burlywood,MFGR#4,MFGR#43,MFGR#437,navajo,STANDARD ANODIZED COPPER,28,WRAP PACK
4693,metallic tan,MFGR#3,MFGR#35,MFGR#354,purple,PROMO BURNISHED STEEL,27,SM PACK
4694,thistle indian,MFGR#2,MFGR#21,MFGR#2126,dim,SMALL PLATED BRASS,10,JUMBO DRUM
4695,khaki lime,MFGR#3,MFGR#31,MFGR#318,pale,PROMO BURNISHED NICKEL,8,LG JAR
4696,frosted smoke,MFGR#5,MFGR#55,MFGR#5527,ghost,MEDIUM BURNISHED BRASS,4,LG DRUM
4697,maroon burnished,MFGR#1,MFGR#13,MFGR#132,mint,MEDIUM BRUSHED BRASS,25,WRAP JAR
4698,moccasin lawn,MFGR#5,MFGR#55,MFGR#5534,almond,PROMO PLATED TIN,12,WRAP PKG
4699,ivory ghost,MFGR#4,MFGR#44,MFGR#4438,peach,ECONOMY BURNISHED BRASS,2,LG PKG
4700,khaki mint,MFGR#5,MFGR#53,MFGR#539,orchid,LARGE PLATED BRASS,20,SM DRUM
4701,azure magenta,MFGR#5,MFGR#53,MFGR#5329,seashell,ECONOMY BRUSHED NICKEL,43,WRAP PKG
4702,cornsilk honeydew,MFGR#1,MFGR#12,MFGR#1210,almond,MEDIUM BRUSHED STEEL,16,WRAP CAN
4703,burnished aquamarine,MFGR#2,MFGR#25,MFGR#2536,rose,ECONOMY BURNISHED STEEL,32,SM JAR
4704,antique chiffon,MFGR#2,MFGR#24,MFGR#2414,magenta,PROMO BRUSHED NICKEL,30,SM DRUM
4705,lavender ghost,MFGR#5,MFGR#51,MFGR#5129,drab,STANDARD POLISHED BRASS,40,WRAP BOX
4706,antique navajo,MFGR#3,MFGR#34,MFGR#3437,red,STANDARD ANODIZED TIN,49,JUMBO CAN
4707,chiffon blue,MFGR#1,MFGR#15,MFGR#1513,almond,LARGE BURNISHED NICKEL,1,WRAP BOX
4708,cream green,MFGR#3,MFGR#31,MFGR#3130,lace,MEDIUM PLATED STEEL,17,LG BAG
4709,ivory brown,MFGR#4,MFGR#43,MFGR#438,cornsilk,ECONOMY PLATED COPPER,31,WRAP BAG
4710,indian almond,MFGR#5,MFGR#53,MFGR#5336,chartreuse,LARGE PLATED BRASS,34,WRAP DRUM
4711,grey green,MFGR#3,MFGR#32,MFGR#327,dodger,LARGE BRUSHED STEEL,48,JUMBO BOX
4712,lavender metallic,MFGR#5,MFGR#54,MFGR#5440,aquamarine,MEDIUM POLISHED TIN,34,JUMBO PKG
4713,floral pale,MFGR#4,MFGR#45,MFGR#4510,bisque,PROMO PLATED TIN,1,SM DRUM
4714,magenta beige,MFGR#3,MFGR#31,MFGR#3137,blush,STANDARD BRUSHED BRASS,32,WRAP PACK
4715,sandy firebrick,MFGR#5,MFGR#52,MFGR#5236,khaki,SMALL POLISHED BRASS,48,WRAP JAR
4716,khaki plum,MFGR#2,MFGR#22,MFGR#2219,blanched,SMALL ANODIZED TIN,5,MED PACK
4717,thistle almond,MFGR#5,MFGR#53,MFGR#538,azure,LARGE POLISHED NICKEL,49,WRAP CASE
4718,khaki burnished,MFGR#4,MFGR#41,MFGR#4112,blue,PROMO BRUSHED STEEL,18,LG PACK
4719,indian dim,MFGR#2,MFGR#21,MFGR#218,pink,ECONOMY POLISHED BRASS,48,LG CAN
4720,floral moccasin,MFGR#4,MFGR#41,MFGR#4137,orange,SMALL ANODIZED TIN,33,WRAP BOX
4721,smoke wheat,MFGR#5,MFGR#54,MFGR#5421,powder,ECONOMY BRUSHED TIN,42,LG CAN
4722,dim gainsboro,MFGR#2,MFGR#22,MFGR#2222,misty,PROMO PLATED TIN,28,WRAP PKG
4723,purple cornflower,MFGR#5,MFGR#54,MFGR#545,lace,MEDIUM BRUSHED TIN,2,SM CASE
4724,papaya dim,MFGR#3,MFGR#33,MFGR#334,dodger,ECONOMY PLATED STEEL,39,MED CASE
4725,cyan pink,MFGR#4,MFGR#42,MFGR#4220,azure,MEDIUM BURNISHED COPPER,32,LG BAG
4726,olive ivory,MFGR#4,MFGR#43,MFGR#439,floral,SMALL BRUSHED STEEL,34,WRAP BOX
4727,salmon khaki,MFGR#1,MFGR#12,MFGR#1212,snow,ECONOMY PLATED COPPER,41,LG PKG
4728,violet goldenrod,MFGR#1,MFGR#15,MFGR#1511,smoke,ECONOMY BURNISHED STEEL,29,WRAP BAG
4729,smoke chiffon,MFGR#1,MFGR#14,MFGR#1425,navajo,MEDIUM POLISHED STEEL,12,MED JAR
4730,saddle misty,MFGR#4,MFGR#43,MFGR#4316,antique,SMALL BURNISHED COPPER,32,JUMBO JAR
4731,maroon floral,MFGR#5,MFGR#51,MFGR#5134,thistle,STANDARD BRUSHED NICKEL,48,WRAP PKG
4732,pink salmon,MFGR#1,MFGR#11,MFGR#1124,frosted,SMALL ANODIZED NICKEL,44,JUMBO PACK
4733,cream magenta,MFGR#4,MFGR#41,MFGR#4140,peach,ECONOMY PLATED BRASS,10,LG CASE
4734,deep frosted,MFGR#4,MFGR#45,MFGR#4519,tomato,ECONOMY POLISHED STEEL,17,WRAP DRUM
4735,chartreuse saddle,MFGR#2,MFGR#23,MFGR#237,royal,ECONOMY BRUSHED TIN,28,JUMBO JAR
4736,pale yellow,MFGR#5,MFGR#54,MFGR#542,royal,ECONOMY BRUSHED COPPER,8,WRAP BAG
4737,ivory moccasin,MFGR#1,MFGR#11,MFGR#114,smoke,STANDARD BRUSHED COPPER,37,LG PACK
4738,green dark,MFGR#3,MFGR#35,MFGR#3539,yellow,ECONOMY BRUSHED COPPER,14,MED PKG
4739,red mint,MFGR#4,MFGR#41,MFGR#419,cream,MEDIUM BRUSHED NICKEL,11,MED PKG
4740,mint lawn,MFGR#2,MFGR#24,MFGR#246,frosted,MEDIUM BURNISHED TIN,28,MED CAN
4741,lace orange,MFGR#2,MFGR#24,MFGR#2416,almond,STANDARD BRUSHED TIN,39,LG PKG
4742,chartreuse forest,MFGR#1,MFGR#15,MFGR#159,plum,PROMO POLISHED BRASS,8,MED JAR
4743,magenta powder,MFGR#4,MFGR#45,MFGR#4518,pink,ECONOMY BURNISHED COPPER,29,LG BOX
4744,slate dodger,MFGR#3,MFGR#31,MFGR#3126,cornsilk,LARGE POLISHED COPPER,49,SM PKG
4745,green sandy,MFGR#4,MFGR#41,MFGR#4117,firebrick,LARGE BRUSHED TIN,36,LG BAG
4746,lace dim,MFGR#5,MFGR#52,MFGR#5213,blanched,SMALL BURNISHED COPPER,22,MED CAN
4747,ghost spring,MFGR#5,MFGR#52,MFGR#525,cream,STANDARD BRUSHED STEEL,4,LG BOX
4748,rose lime,MFGR#1,MFGR#13,MFGR#1334,indian,STANDARD BURNISHED BRASS,47,JUMBO CAN
4749,antique rose,MFGR#1,MFGR#15,MFGR#1531,puff,MEDIUM BURNISHED TIN,31,JUMBO PKG
4750,misty pink,MFGR#5,MFGR#54,MFGR#5426,khaki,MEDIUM BRUSHED COPPER,22,JUMBO JAR
4751,aquamarine salmon,MFGR#1,MFGR#13,MFGR#136,grey,ECONOMY ANODIZED BRASS,21,JUMBO BAG
4752,medium gainsboro,MFGR#5,MFGR#52,MFGR#523,antique,PROMO POLISHED BRASS,40,SM PACK
4753,drab mint,MFGR#4,MFGR#44,MFGR#449,thistle,SMALL BRUSHED NICKEL,13,WRAP CAN
4754,forest lavender,MFGR#4,MFGR#44,MFGR#4425,burlywood,LARGE BRUSHED STEEL,19,WRAP BOX
4755,black beige,MFGR#4,MFGR#45,MFGR#4521,chiffon,LARGE PLATED TIN,50,LG PKG
4756,navajo salmon,MFGR#3,MFGR#32,MFGR#329,cyan,PROMO BURNISHED BRASS,5,LG BAG
4757,firebrick misty,MFGR#5,MFGR#53,MFGR#5314,light,MEDIUM PLATED COPPER,47,WRAP CAN
4758,maroon blanched,MFGR#3,MFGR#33,MFGR#3320,gainsboro,MEDIUM POLISHED STEEL,29,WRAP PKG
4759,aquamarine lace,MFGR#2,MFGR#22,MFGR#2228,sky,PROMO BURNISHED NICKEL,15,JUMBO PKG
4760,magenta honeydew,MFGR#5,MFGR#54,MFGR#5427,saddle,SMALL BRUSHED BRASS,47,WRAP DRUM
4761,blush cream,MFGR#1,MFGR#13,MFGR#1336,royal,LARGE ANODIZED TIN,9,LG DRUM
4762,cornsilk frosted,MFGR#2,MFGR#24,MFGR#2440,smoke,SMALL PLATED NICKEL,32,MED CAN
4763,chiffon moccasin,MFGR#5,MFGR#52,MFGR#5213,thistle,STANDARD POLISHED NICKEL,42,MED PKG
4764,seashell pink,MFGR#1,MFGR#15,MFGR#1540,lime,LARGE BRUSHED BRASS,47,SM JAR
4765,purple light,MFGR#2,MFGR#21,MFGR#2119,lavender,LARGE BRUSHED STEEL,29,LG CASE
4766,chocolate magenta,MFGR#2,MFGR#23,MFGR#2327,hot,LARGE PLATED COPPER,41,LG CASE
4767,saddle dodger,MFGR#2,MFGR#22,MFGR#2237,orange,STANDARD PLATED TIN,20,LG CAN
4768,royal blanched,MFGR#5,MFGR#51,MFGR#5113,chiffon,LARGE PLATED NICKEL,27,MED BOX
4769,powder lace,MFGR#5,MFGR#52,MFGR#5224,slate,MEDIUM PLATED COPPER,31,MED BAG
4770,lime coral,MFGR#3,MFGR#31,MFGR#3118,blush,ECONOMY ANODIZED STEEL,2,MED CASE
4771,aquamarine green,MFGR#5,MFGR#53,MFGR#5337,cornflower,STANDARD PLATED BRASS,39,MED DRUM
4772,dim powder,MFGR#5,MFGR#53,MFGR#536,cream,LARGE BURNISHED STEEL,5,LG DRUM
4773,navy dodger,MFGR#3,MFGR#32,MFGR#3224,beige,STANDARD ANODIZED STEEL,1,WRAP BOX
4774,blanched pink,MFGR#4,MFGR#44,MFGR#4438,sky,ECONOMY PLATED NICKEL,50,SM JAR
4775,frosted mint,MFGR#4,MFGR#44,MFGR#4430,aquamarine,PROMO POLISHED STEEL,19,WRAP CAN
4776,grey midnight,MFGR#1,MFGR#13,MFGR#1326,blush,SMALL BURNISHED TIN,28,SM CAN
4777,goldenrod yellow,MFGR#5,MFGR#53,MFGR#5313,light,MEDIUM BRUSHED TIN,41,WRAP JAR
4778,metallic yellow,MFGR#1,MFGR#13,MFGR#1318,snow,STANDARD BRUSHED STEEL,8,SM CAN
4779,cornsilk goldenrod,MFGR#5,MFGR#54,MFGR#5435,sienna,ECONOMY PLATED BRASS,41,JUMBO PKG
4780,tan floral,MFGR#2,MFGR#24,MFGR#2421,firebrick,STANDARD PLATED TIN,48,JUMBO JAR
4781,peru blue,MFGR#2,MFGR#24,MFGR#2422,floral,ECONOMY POLISHED TIN,41,WRAP PKG
4782,orange misty,MFGR#5,MFGR#52,MFGR#5231,lace,MEDIUM BURNISHED STEEL,20,MED BAG
4783,azure orchid,MFGR#3,MFGR#33,MFGR#3324,cornsilk,STANDARD BRUSHED TIN,46,JUMBO BOX
4784,frosted chiffon,MFGR#1,MFGR#13,MFGR#1340,hot,MEDIUM BURNISHED TIN,47,JUMBO CAN
4785,aquamarine wheat,MFGR#2,MFGR#21,MFGR#2124,antique,MEDIUM PLATED COPPER,30,JUMBO DRUM
4786,black almond,MFGR#1,MFGR#14,MFGR#1417,thistle,SMALL BURNISHED NICKEL,39,JUMBO PACK
4787,azure olive,MFGR#2,MFGR#24,MFGR#2433,maroon,LARGE BURNISHED BRASS,27,JUMBO DRUM
4788,brown spring,MFGR#1,MFGR#13,MFGR#1311,white,LARGE ANODIZED NICKEL,31,MED PACK
4789,saddle bisque,MFGR#2,MFGR#24,MFGR#2439,navajo,ECONOMY BURNISHED NICKEL,1,WRAP JAR
4790,blanched ghost,MFGR#2,MFGR#23,MFGR#2327,honeydew,MEDIUM ANODIZED COPPER,36,LG PKG
4791,pink grey,MFGR#1,MFGR#12,MFGR#1226,chiffon,STANDARD BURNISHED NICKEL,50,WRAP BOX
4792,lace turquoise,MFGR#3,MFGR#33,MFGR#338,papaya,PROMO BURNISHED TIN,22,WRAP JAR
4793,bisque antique,MFGR#5,MFGR#51,MFGR#519,khaki,LARGE ANODIZED TIN,2,JUMBO CASE
4794,hot beige,MFGR#3,MFGR#32,MFGR#3217,drab,LARGE PLATED NICKEL,6,MED JAR
4795,saddle floral,MFGR#3,MFGR#32,MFGR#3239,grey,LARGE BURNISHED STEEL,10,LG BOX
4796,powder floral,MFGR#3,MFGR#33,MFGR#3320,snow,MEDIUM ANODIZED STEEL,41,LG CASE
4797,pale smoke,MFGR#3,MFGR#31,MFGR#3116,dim,LARGE POLISHED COPPER,31,LG BOX
4798,khaki peach,MFGR#2,MFGR#24,MFGR#243,cornflower,MEDIUM BRUSHED STEEL,16,MED BOX
4799,chocolate deep,MFGR#5,MFGR#52,MFGR#529,white,SMALL PLATED TIN,15,WRAP PKG
4800,goldenrod saddle,MFGR#4,MFGR#43,MFGR#4319,coral,PROMO POLISHED COPPER,29,WRAP PACK
4801,burlywood peach,MFGR#4,MFGR#41,MFGR#4127,pale,MEDIUM BRUSHED NICKEL,5,MED CAN
4802,brown hot,MFGR#1,MFGR#14,MFGR#1418,goldenrod,LARGE BURNISHED NICKEL,42,WRAP BAG
4803,ghost lace,MFGR#3,MFGR#35,MFGR#3516,seashell,ECONOMY PLATED NICKEL,48,LG PKG
4804,midnight magenta,MFGR#3,MFGR#34,MFGR#3438,navajo,ECONOMY POLISHED TIN,48,MED BAG
4805,lace sandy,MFGR#5,MFGR#52,MFGR#5212,smoke,STANDARD BURNISHED COPPER,37,JUMBO PACK
4806,forest orange,MFGR#2,MFGR#22,MFGR#2224,mint,PROMO POLISHED TIN,5,WRAP BAG
4807,yellow almond,MFGR#2,MFGR#23,MFGR#2313,turquoise,PROMO PLATED NICKEL,48,SM BOX
4808,floral pink,MFGR#1,MFGR#13,MFGR#136,thistle,SMALL BURNISHED TIN,41,MED BOX
4809,lemon olive,MFGR#5,MFGR#55,MFGR#555,tomato,MEDIUM ANODIZED BRASS,44,WRAP CAN
4810,rosy cornflower,MFGR#5,MFGR#52,MFGR#5218,blush,PROMO ANODIZED BRASS,24,JUMBO CASE
4811,metallic cream,MFGR#5,MFGR#51,MFGR#5123,lemon,ECONOMY PLATED COPPER,37,WRAP BOX
4812,powder light,MFGR#4,MFGR#41,MFGR#4121,orchid,ECONOMY PLATED NICKEL,21,JUMBO BAG
4813,floral cream,MFGR#3,MFGR#35,MFGR#3527,linen,SMALL POLISHED NICKEL,30,MED PACK
4814,dim blue,MFGR#3,MFGR#34,MFGR#3422,chartreuse,SMALL ANODIZED NICKEL,16,SM CAN
4815,rosy chartreuse,MFGR#4,MFGR#41,MFGR#4118,steel,MEDIUM BURNISHED STEEL,16,JUMBO CASE
4816,purple gainsboro,MFGR#2,MFGR#22,MFGR#223,navy,MEDIUM POLISHED COPPER,50,SM PKG
4817,plum cornsilk,MFGR#4,MFGR#45,MFGR#4531,navy,STANDARD BURNISHED COPPER,19,WRAP CASE
4818,olive forest,MFGR#4,MFGR#41,MFGR#4116,maroon,STANDARD BURNISHED TIN,24,WRAP PKG
4819,mint goldenrod,MFGR#2,MFGR#21,MFGR#212,honeydew,SMALL POLISHED TIN,31,LG PACK
4820,turquoise floral,MFGR#1,MFGR#13,MFGR#1320,cream,PROMO POLISHED BRASS,31,WRAP PACK
4821,frosted lavender,MFGR#1,MFGR#12,MFGR#1228,powder,STANDARD BURNISHED BRASS,37,JUMBO PACK
4822,bisque royal,MFGR#3,MFGR#34,MFGR#3439,black,LARGE POLISHED STEEL,47,MED CAN
4823,plum ivory,MFGR#1,MFGR#11,MFGR#1119,blue,SMALL POLISHED STEEL,18,SM PKG
4824,linen almond,MFGR#3,MFGR#32,MFGR#322,navy,SMALL BRUSHED TIN,26,WRAP DRUM
4825,cream blush,MFGR#2,MFGR#21,MFGR#2121,yellow,SMALL BRUSHED TIN,43,LG CAN
4826,drab light,MFGR#3,MFGR#33,MFGR#3310,dark,MEDIUM PLATED STEEL,20,JUMBO CASE
4827,purple moccasin,MFGR#1,MFGR#14,MFGR#1416,sky,SMALL POLISHED TIN,26,JUMBO JAR
4828,honeydew moccasin,MFGR#5,MFGR#51,MFGR#5135,light,MEDIUM BURNISHED STEEL,8,JUMBO DRUM
4829,green beige,MFGR#1,MFGR#13,MFGR#1323,khaki,LARGE PLATED TIN,25,LG CAN
4830,olive cornflower,MFGR#1,MFGR#12,MFGR#128,sandy,MEDIUM ANODIZED COPPER,36,MED DRUM
4831,navy grey,MFGR#4,MFGR#43,MFGR#4321,sienna,PROMO BRUSHED COPPER,21,LG CASE
4832,green tomato,MFGR#2,MFGR#21,MFGR#2139,purple,PROMO BRUSHED NICKEL,47,SM BOX
4833,honeydew maroon,MFGR#1,MFGR#15,MFGR#1518,cyan,LARGE PLATED NICKEL,11,WRAP JAR
4834,light midnight,MFGR#3,MFGR#32,MFGR#329,drab,STANDARD BRUSHED STEEL,15,MED JAR
4835,spring orange,MFGR#3,MFGR#34,MFGR#3421,metallic,SMALL BURNISHED BRASS,6,LG PACK
4836,medium tan,MFGR#4,MFGR#44,MFGR#4424,burnished,STANDARD ANODIZED COPPER,33,WRAP BAG
4837,violet brown,MFGR#2,MFGR#24,MFGR#2418,puff,STANDARD BRUSHED STEEL,15,MED CASE
4838,lawn blush,MFGR#5,MFGR#55,MFGR#5521,bisque,PROMO BURNISHED STEEL,40,JUMBO CAN
4839,black sandy,MFGR#1,MFGR#14,MFGR#141,midnight,MEDIUM BRUSHED NICKEL,5,WRAP PKG
4840,drab salmon,MFGR#4,MFGR#41,MFGR#4116,rosy,MEDIUM POLISHED BRASS,42,WRAP JAR
4841,royal goldenrod,MFGR#1,MFGR#14,MFGR#1412,pink,ECONOMY BURNISHED BRASS,15,MED JAR
4842,sandy dim,MFGR#3,MFGR#34,MFGR#3435,bisque,SMALL POLISHED TIN,36,SM BOX
4843,chiffon olive,MFGR#4,MFGR#43,MFGR#438,ghost,PROMO PLATED STEEL,44,JUMBO JAR
4844,peru smoke,MFGR#1,MFGR#11,MFGR#113,puff,PROMO POLISHED BRASS,5,SM BOX
4845,bisque olive,MFGR#4,MFGR#45,MFGR#4519,firebrick,SMALL POLISHED TIN,23,WRAP DRUM
4846,lavender slate,MFGR#2,MFGR#24,MFGR#246,gainsboro,SMALL PLATED STEEL,7,SM JAR
4847,drab peru,MFGR#1,MFGR#13,MFGR#1315,cornsilk,LARGE BRUSHED COPPER,15,LG CAN
4848,ivory burlywood,MFGR#5,MFGR#51,MFGR#5130,cyan,LARGE POLISHED COPPER,37,SM JAR
4849,cornflower deep,MFGR#2,MFGR#24,MFGR#2431,ghost,LARGE POLISHED BRASS,21,JUMBO DRUM
4850,mint khaki,MFGR#5,MFGR#55,MFGR#5538,dim,ECONOMY BRUSHED BRASS,46,WRAP JAR
4851,chartreuse royal,MFGR#5,MFGR#54,MFGR#5432,linen,SMALL POLISHED BRASS,9,JUMBO CASE
4852,blue firebrick,MFGR#3,MFGR#34,MFGR#3437,linen,STANDARD ANODIZED BRASS,6,JUMBO PACK
4853,lemon royal,MFGR#4,MFGR#45,MFGR#4510,antique,SMALL BURNISHED COPPER,50,JUMBO CASE
4854,chiffon mint,MFGR#2,MFGR#23,MFGR#2316,linen,MEDIUM PLATED COPPER,24,JUMBO JAR
4855,almond blush,MFGR#3,MFGR#34,MFGR#343,firebrick,PROMO PLATED TIN,31,SM CASE
4856,dim wheat,MFGR#2,MFGR#22,MFGR#2211,seashell,LARGE PLATED NICKEL,49,SM JAR
4857,green burnished,MFGR#2,MFGR#25,MFGR#2538,dodger,SMALL BURNISHED STEEL,45,SM JAR
4858,blush slate,MFGR#5,MFGR#55,MFGR#558,burlywood,STANDARD PLATED TIN,5,JUMBO JAR
4859,medium chartreuse,MFGR#2,MFGR#22,MFGR#228,indian,STANDARD PLATED BRASS,6,SM JAR
4860,indian steel,MFGR#4,MFGR#43,MFGR#4315,almond,PROMO BURNISHED COPPER,18,JUMBO PKG
4861,plum gainsboro,MFGR#1,MFGR#11,MFGR#1131,yellow,STANDARD POLISHED TIN,5,SM BOX
4862,beige lawn,MFGR#2,MFGR#22,MFGR#2214,yellow,LARGE PLATED TIN,38,WRAP DRUM
4863,blue maroon,MFGR#4,MFGR#44,MFGR#445,almond,LARGE ANODIZED BRASS,19,MED CASE
4864,navy dark,MFGR#3,MFGR#34,MFGR#3440,deep,MEDIUM BRUSHED TIN,41,WRAP PACK
4865,metallic deep,MFGR#5,MFGR#51,MFGR#5113,indian,STANDARD POLISHED TIN,28,SM PACK
4866,azure lime,MFGR#1,MFGR#11,MFGR#1111,lavender,PROMO POLISHED BRASS,32,SM PACK
4867,dim goldenrod,MFGR#4,MFGR#41,MFGR#411,lawn,PROMO PLATED COPPER,46,JUMBO JAR
4868,beige yellow,MFGR#2,MFGR#21,MFGR#2111,coral,ECONOMY BRUSHED STEEL,10,SM PKG
4869,beige mint,MFGR#5,MFGR#55,MFGR#5534,chocolate,MEDIUM PLATED COPPER,8,JUMBO CASE
4870,lace drab,MFGR#2,MFGR#21,MFGR#2112,hot,PROMO PLATED BRASS,45,WRAP BAG
4871,aquamarine salmon,MFGR#1,MFGR#15,MFGR#1521,pink,ECONOMY POLISHED STEEL,45,JUMBO JAR
4872,cornflower red,MFGR#3,MFGR#34,MFGR#3433,beige,SMALL POLISHED TIN,2,WRAP PACK
4873,cornflower moccasin,MFGR#1,MFGR#13,MFGR#1326,goldenrod,ECONOMY ANODIZED BRASS,13,LG CAN
4874,floral plum,MFGR#3,MFGR#34,MFGR#3439,sienna,ECONOMY PLATED BRASS,22,MED BOX
4875,magenta brown,MFGR#1,MFGR#15,MFGR#156,blanched,LARGE ANODIZED STEEL,41,JUMBO CAN
4876,blush burlywood,MFGR#2,MFGR#23,MFGR#237,lavender,SMALL BRUSHED STEEL,28,JUMBO CASE
4877,white seashell,MFGR#3,MFGR#33,MFGR#3337,mint,SMALL ANODIZED COPPER,9,WRAP JAR
4878,royal rose,MFGR#3,MFGR#31,MFGR#3122,tomato,ECONOMY PLATED TIN,17,MED JAR
4879,cornflower burnished,MFGR#4,MFGR#45,MFGR#455,aquamarine,LARGE ANODIZED BRASS,5,LG JAR
4880,black purple,MFGR#2,MFGR#22,MFGR#2220,honeydew,SMALL BURNISHED TIN,26,MED BOX
4881,lemon forest,MFGR#1,MFGR#12,MFGR#1236,salmon,SMALL PLATED STEEL,44,LG CASE
4882,lavender red,MFGR#3,MFGR#34,MFGR#343,firebrick,LARGE PLATED STEEL,23,SM CASE
4883,firebrick chocolate,MFGR#3,MFGR#35,MFGR#3518,cornsilk,SMALL PLATED NICKEL,48,JUMBO PKG
4884,azure drab,MFGR#1,MFGR#13,MFGR#1330,khaki,STANDARD PLATED BRASS,22,MED JAR
4885,lawn ivory,MFGR#4,MFGR#41,MFGR#4118,orange,ECONOMY ANODIZED NICKEL,38,SM DRUM
4886,cream powder,MFGR#3,MFGR#35,MFGR#3522,chocolate,MEDIUM BURNISHED TIN,18,SM CASE
4887,navy steel,MFGR#4,MFGR#45,MFGR#4530,cyan,ECONOMY PLATED TIN,45,SM BOX
4888,seashell violet,MFGR#3,MFGR#34,MFGR#3440,moccasin,SMALL BRUSHED BRASS,15,LG BAG
4889,mint coral,MFGR#3,MFGR#35,MFGR#3516,khaki,LARGE POLISHED COPPER,49,WRAP CASE
4890,dark maroon,MFGR#1,MFGR#14,MFGR#1422,misty,STANDARD BRUSHED STEEL,24,SM JAR
4891,sandy salmon,MFGR#5,MFGR#52,MFGR#5222,puff,SMALL POLISHED NICKEL,48,MED BOX
4892,beige khaki,MFGR#3,MFGR#33,MFGR#332,royal,PROMO ANODIZED BRASS,31,SM CASE
4893,grey olive,MFGR#4,MFGR#44,MFGR#4419,navajo,LARGE ANODIZED TIN,1,LG BOX
4894,goldenrod moccasin,MFGR#1,MFGR#15,MFGR#1537,aquamarine,LARGE POLISHED BRASS,40,SM PKG
4895,frosted ivory,MFGR#3,MFGR#34,MFGR#3413,antique,MEDIUM PLATED STEEL,41,WRAP JAR
4896,frosted magenta,MFGR#5,MFGR#51,MFGR#5138,chocolate,PROMO ANODIZED TIN,35,MED CAN
4897,linen smoke,MFGR#3,MFGR#34,MFGR#3425,cornflower,SMALL BRUSHED COPPER,6,LG DRUM
4898,cornsilk orange,MFGR#1,MFGR#13,MFGR#135,puff,SMALL POLISHED BRASS,41,JUMBO BOX
4899,green coral,MFGR#2,MFGR#24,MFGR#2438,salmon,SMALL ANODIZED STEEL,10,WRAP PKG
4900,firebrick plum,MFGR#3,MFGR#31,MFGR#3126,coral,STANDARD PLATED TIN,24,LG CASE
